patch_id,city_code,entropy_normalised,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,distance_to_center_km
houston_0953,houston,0.534814,20,36,10,0.25974,0.467532,0.12987,2.9351,84.52,9551.23,0.248322,120.31,14.9238,1.020238,3.505
tehran_0389,tehran,0.536494,41,87,45,0.215789,0.457895,0.236842,2.6526,54.73,13790.71,0.168,296.87,21.548,1.019323,9.326
cairo_0440,cairo,0.527527,23,111,23,0.121053,0.584211,0.121053,2.7053,57.96,14895.59,0.181333,296.87,23.2744,1.0081,24.655
portland_0315,portland,0.534761,27,91,23,0.16875,0.56875,0.14375,2.7625,59.83,13222.5,0.196825,250.0,20.6602,1.030749,3.19
detroit_0087,detroit,0.559053,88,76,24,0.44898,0.387755,0.122449,3.1633,44.4,13764.13,0.297158,306.25,21.5065,1.025553,12.338
denver_0033,denver,0.524438,41,84,6,0.273333,0.56,0.04,3.0667,60.78,13979.09,0.274576,234.37,21.8423,1.028148,7.571
houston_0552,houston,0.535028,42,82,23,0.253012,0.493976,0.138554,2.9157,49.47,11972.28,0.235474,259.37,18.7067,1.049976,8.863
vancouver_0073,vancouver,0.508178,97,84,49,0.367424,0.318182,0.185606,2.8788,49.1,18656.75,0.223709,412.5,29.1512,1.007053,5.644
portland_0399,portland,0.553488,23,36,8,0.306667,0.48,0.106667,2.9867,85.28,9551.06,0.262069,117.19,14.9235,1.008347,7.045
brasilia_1179,brasilia,0.529017,0,41,3,0.0,0.683333,0.05,2.6333,40.93,3233.78,0.173913,93.75,5.0528,1.011551,7.341
houston_0152,houston,0.536411,4,32,22,0.059701,0.477612,0.328358,2.2687,60.04,4563.14,0.077519,104.69,7.1299,1.137727,18.482
brasilia_0403,brasilia,0.562909,3,95,7,0.024,0.76,0.056,2.752,58.83,10119.61,0.195918,195.31,15.8119,1.018183,28.04
chicago_0575,chicago,0.529634,100,161,7,0.350877,0.564912,0.024561,3.2421,40.36,18647.32,0.315044,445.31,29.1364,1.029787,22.26
chicago_0446,chicago,0.529539,115,95,38,0.438931,0.362595,0.145038,3.1145,44.72,18247.15,0.283237,409.37,28.5112,1.0184,7.932
phoenix_0638,phoenix,0.553484,82,113,58,0.288732,0.397887,0.204225,2.8028,40.81,16241.97,0.204263,443.75,25.3781,1.108861,10.091
brasilia_0224,brasilia,0.566058,0,50,6,0.0,0.735294,0.088235,2.6471,80.28,7224.82,0.175573,106.25,11.2888,1.053449,28.113
minneapolis_0757,minneapolis,0.543783,83,73,39,0.399038,0.350962,0.1875,2.9615,55.29,17029.15,0.245742,325.0,26.608,1.007306,10.519
brasilia_0689,brasilia,0.538373,9,173,15,0.038961,0.748918,0.064935,2.7619,51.91,16557.74,0.194748,360.94,25.8715,1.021581,21.169
phoenix_1056,phoenix,0.520686,5,39,17,0.064103,0.5,0.217949,2.4103,62.35,5860.47,0.112583,121.87,9.157,1.087521,6.925
cairo_1290,cairo,0.524081,4,45,8,0.058824,0.661765,0.117647,2.7059,61.16,5626.81,0.19084,106.25,8.7919,1.067017,35.162
phoenix_0923,phoenix,0.563197,10,42,4,0.163934,0.688525,0.065574,2.9508,94.23,8481.03,0.25641,95.31,13.2516,1.168864,27.686
lasvegas_0892,lasvegas,0.565472,10,36,13,0.133333,0.48,0.173333,2.6133,73.75,7227.38,0.165517,117.19,11.2928,1.029503,12.7
budapest_0460,budapest,0.531242,93,109,19,0.373494,0.437751,0.076305,3.1084,44.99,17410.4,0.281947,389.06,27.2038,1.021038,8.819
portland_0376,portland,0.551009,27,116,28,0.143617,0.617021,0.148936,2.8085,47.73,12600.99,0.207547,293.75,19.689,1.038055,5.426
phoenix_0506,phoenix,0.529451,2,41,20,0.028571,0.585714,0.285714,2.4,64.94,5455.04,0.111111,109.37,8.5235,1.128371,5.913
chicago_0109,chicago,0.514932,176,112,19,0.541538,0.344615,0.058462,3.4154,39.37,21850.93,0.35814,507.81,34.1421,1.012643,12.332
lasvegas_0069,lasvegas,0.544166,14,54,28,0.132075,0.509434,0.264151,2.566,76.07,10345.16,0.149758,165.62,16.1643,1.062058,17.842
detroit_0255,detroit,0.54683,65,61,19,0.403727,0.378882,0.118012,3.0683,60.22,14874.85,0.274448,251.56,23.2419,1.030765,10.847
chicago_0801,chicago,0.553815,207,189,19,0.467269,0.426637,0.042889,3.3318,36.98,27291.12,0.335982,692.19,42.6424,1.041994,14.954
kyiv_0939,kyiv,0.552959,16,42,2,0.238806,0.626866,0.029851,3.1343,93.16,9781.55,0.302326,104.69,15.2837,1.005147,9.64
chicago_0626,chicago,0.519493,114,103,21,0.447059,0.403922,0.082353,3.2549,38.39,15933.92,0.318812,398.44,24.8967,1.01692,22.178
mendoza_0045,mendoza,0.545048,13,18,4,0.325,0.45,0.1,3.0,118.34,7100.12,0.28,62.5,11.0939,1.001288,9.138
chicago_0514,chicago,0.526017,285,212,27,0.516304,0.384058,0.048913,3.3841,33.78,31548.83,0.348499,862.5,49.2951,1.003118,10.068
detroit_0101,detroit,0.549193,92,106,31,0.377049,0.434426,0.127049,3.0738,45.58,17094.13,0.273292,381.25,26.7096,1.007911,16.287
houston_1362,houston,0.537069,26,51,9,0.257426,0.50495,0.089109,2.9307,57.2,8466.03,0.243655,157.81,13.2282,1.068502,13.689
phoenix_1075,phoenix,0.528078,47,69,37,0.267045,0.392045,0.210227,2.75,47.37,11464.2,0.193084,275.0,17.9128,1.114466,8.622
budapest_0709,budapest,0.558344,13,30,9,0.203125,0.46875,0.140625,2.7812,94.34,8396.65,0.211382,100.0,13.1198,1.000526,14.478
orlando_0845,orlando,0.523771,8,25,9,0.16,0.5,0.18,2.64,115.55,7626.52,0.178947,78.12,11.9164,1.169422,7.47
vancouver_0195,vancouver,0.521352,118,124,40,0.389439,0.409241,0.132013,3.0561,53.05,24562.39,0.267887,473.44,38.3787,1.013931,6.191
detroit_0685,detroit,0.541799,90,56,28,0.473684,0.294737,0.147368,3.0947,63.33,18617.87,0.28,296.87,29.0904,1.037922,10.154
houston_0259,houston,0.565065,79,168,129,0.200508,0.426396,0.327411,2.5076,35.03,17303.66,0.128991,615.62,27.037,1.065328,11.393
vancouver_0121,vancouver,0.553088,163,154,52,0.417949,0.394872,0.133333,3.0974,43.82,26468.1,0.277419,609.37,41.3564,1.004189,1.397
detroit_0399,detroit,0.558401,100,115,9,0.390625,0.449219,0.035156,3.1953,43.26,17691.98,0.303748,400.0,27.6437,1.023725,4.703
tehran_0278,tehran,0.547397,10,41,33,0.102041,0.418367,0.336735,2.2857,69.04,7732.54,0.078534,153.12,12.0821,1.015454,7.126
phoenix_0882,phoenix,0.564044,70,168,32,0.231023,0.554455,0.105611,2.9109,41.79,18430.49,0.231281,473.44,28.7976,1.096683,5.986
phoenix_1319,phoenix,0.529502,2,32,14,0.033898,0.542373,0.237288,2.4746,104.72,7644.72,0.132743,92.19,11.9449,1.199976,24.159
portland_0236,portland,0.544143,21,61,17,0.189189,0.54955,0.153153,2.8288,62.18,9761.99,0.21659,173.44,15.2531,1.189097,6.708
tashkent_0181,tashkent,0.508019,5,82,36,0.034722,0.569444,0.25,2.3889,63.61,10940.41,0.102473,225.0,17.0944,1.047305,13.524
brasilia_1773,brasilia,0.563133,1,16,10,0.029412,0.470588,0.294118,2.2353,60.78,2309.57,0.079365,53.12,3.6087,1.07435,11.584
portland_0235,portland,0.536134,80,138,22,0.306513,0.528736,0.084291,3.0575,44.44,17733.17,0.268859,407.81,27.7081,1.054346,5.908
orlando_0586,orlando,0.511194,0,32,9,0.0,0.666667,0.1875,2.6667,85.57,5476.69,0.186813,75.0,8.5573,1.098776,11.815
detroit_0091,detroit,0.524292,46,74,7,0.321678,0.517483,0.048951,3.1329,59.35,13295.44,0.291815,223.44,20.7741,1.043864,12.606
houston_1333,houston,0.508027,2,39,35,0.022989,0.448276,0.402299,2.092,60.48,5503.5,0.029586,135.94,8.5992,1.097665,17.393
manhattan_0024,manhattan,0.525266,184,87,39,0.554217,0.262048,0.11747,3.2711,42.04,22830.26,0.3217,518.75,35.6723,1.009612,4.18
detroit_0534,detroit,0.527496,45,51,49,0.286624,0.324841,0.312102,2.6242,50.79,10463.54,0.161812,245.31,16.3493,1.051682,13.057
manhattan_0081,manhattan,0.524371,242,129,29,0.57346,0.305687,0.06872,3.3981,37.44,26843.87,0.352801,659.37,41.9436,1.007723,2.096
detroit_0209,detroit,0.511447,60,85,15,0.357143,0.505952,0.089286,3.131,59.35,15610.05,0.29003,262.5,24.3907,1.026423,15.151
houston_0211,houston,0.560705,58,159,36,0.209386,0.574007,0.129964,2.8736,41.42,16483.57,0.222222,432.81,25.7556,1.078969,13.615
bangkok_1967,bangkok,0.543004,2,43,31,0.021978,0.472527,0.340659,2.1758,65.31,6465.73,0.050847,142.19,10.1027,1.025159,36.414
kyoto_0386,kyoto,0.519248,134,152,34,0.391813,0.444444,0.099415,3.1287,38.84,20777.47,0.285714,534.37,32.4648,1.006477,1.034
denver_0217,denver,0.546594,162,150,25,0.461538,0.42735,0.071225,3.2877,39.06,22534.93,0.325681,548.44,35.2108,1.00956,2.054
detroit_0735,detroit,0.529876,67,88,25,0.331683,0.435644,0.123762,2.9901,53.89,16274.34,0.253133,315.62,25.4287,1.019529,14.659
detroit_0612,detroit,0.563676,181,148,14,0.486559,0.397849,0.037634,3.3333,39.99,24795.44,0.336942,581.25,38.7429,1.011395,5.2
houston_0306,houston,0.51225,17,68,42,0.119718,0.478873,0.295775,2.4648,61.11,10694.22,0.121864,221.87,16.7097,1.028544,11.429
chicago_0778,chicago,0.535404,213,180,41,0.456103,0.385439,0.087794,3.2163,36.92,27727.96,0.306781,729.69,43.3249,1.014641,6.115
houston_0043,houston,0.563349,40,128,42,0.169492,0.542373,0.177966,2.7458,42.28,13699.46,0.190578,368.75,21.4054,1.071528,18.84
