patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used
lasvegas_0556,lasvegas,556,36.239417,-115.178547,663273.93,4011642.16,664073.93,4012442.16,EPSG:32611,576,195,195,1,195,1.0,2.177311,0.60759,2.291799,0.639539,0.870395,524
budapest_0718,budapest,718,47.503805,19.209373,364753.39,5262306.49,365553.39,5263106.49,EPSG:32634,332,97,97,1,97,1.0,2.110468,0.588937,1.950933,0.544418,0.891373,268
bangkok_1715,bangkok,1715,13.739068,100.731571,686828.23,1519140.91,687628.23,1519940.91,EPSG:32647,242,83,83,4,80,0.9639,2.109141,0.588567,1.833893,0.511758,0.891771,180
brasilia_1537,brasilia,1537,-15.83391,-47.862237,193003.82,8246945.62,193803.82,8247745.62,EPSG:32723,88,36,36,5,32,0.8889,2.160979,0.603033,1.961265,0.547301,0.875691,66
minneapolis_0367,minneapolis,367,44.952255,-93.29131,476621.29,4977287.85,477421.29,4978087.85,EPSG:32615,1564,522,522,2,521,0.9981,2.127003,0.593551,1.890014,0.527419,0.886356,1422
detroit_0532,detroit,532,42.434682,-83.044219,331456.5,4699664.74,332256.5,4700464.74,EPSG:32617,676,189,189,3,187,0.9894,2.069295,0.577448,1.92784,0.537974,0.903374,560
lasvegas_0419,lasvegas,419,36.074013,-115.20902,660873.93,3993242.16,661673.93,3994042.16,EPSG:32611,950,322,322,7,307,0.9534,2.214971,0.618099,2.421139,0.675632,0.85776,774
phoenix_0187,phoenix,187,33.711255,-112.198116,388580.48,3730385.52,389380.48,3731185.52,EPSG:32612,302,95,95,3,93,0.9789,2.045331,0.570761,2.13268,0.595136,0.910036,260
seattle_0112,seattle,112,47.66725,-122.366558,547154.92,5279111.91,547954.92,5279911.91,EPSG:32610,1350,440,440,3,438,0.9955,2.23961,0.624975,1.750696,0.488541,0.849176,1210
hanoi_4046,hanoi,4046,20.894526,105.882184,591351.27,2310326.51,592151.27,2311126.51,EPSG:32648,98,32,32,6,27,0.8438,2.199447,0.613767,1.924157,0.536946,0.863039,62
houston_0539,houston,539,29.72465,-95.426687,264872.3,3290340.6,265672.3,3291140.6,EPSG:32615,1324,412,412,5,405,0.983,2.161692,0.603232,2.083351,0.58137,0.875463,1222
chicago_0744,chicago,744,41.878336,-87.627795,447508.44,4636058.65,448308.44,4636858.65,EPSG:32616,2644,923,923,8,906,0.9816,2.052789,0.572842,2.036565,0.568314,0.907988,2442
