patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
buenosaires_0186,buenosaires,68,0.104,979.2,1535.57,42.88,23.72
buenosaires_0198,buenosaires,130,0.0574,282.75,442.61,24.1,27.61
buenosaires_0159,buenosaires,42,0.0245,373.43,521.23,49.14,32.45
buenosaires_0103,buenosaires,9,0.0026,186.81,135.92,133.84,105.19
buenosaires_0289,buenosaires,136,0.1651,777.08,1620.16,28.21,24.63
buenosaires_0237,buenosaires,46,0.0602,837.23,1777.07,41.25,33.53
buenosaires_0127,buenosaires,24,0.0308,821.49,1521.74,81.61,56.75
cairo_2083,cairo,73,0.186,1631.12,1484.46,48.03,29.61
cairo_1483,cairo,0,0.0,,,,
cairo_1951,cairo,9,0.0396,2816.3,3680.6,122.4,92.86
cairo_2111,cairo,11,0.0612,3558.66,2603.71,149.39,101.01
cairo_1448,cairo,0,0.0,,,,
cairo_1800,cairo,0,0.0,,,,
cairo_2053,cairo,40,0.0872,1395.97,3433.96,73.04,49.25
cairo_1767,cairo,0,0.0,,,,
cairo_1921,cairo,1,0.0106,6809.89,0.0,,
cairo_1799,cairo,0,0.0,,,,
cairo_2100,cairo,18,0.1161,4129.52,3696.1,95.57,36.92
cairo_1730,cairo,1,0.0003,178.31,0.0,,
cairo_2064,cairo,28,0.1911,4368.8,19428.11,72.79,78.21
cairo_2086,cairo,22,0.1384,4024.97,6042.07,90.75,35.76
cairo_2120,cairo,0,0.0,,,,
cairo_2052,cairo,28,0.0704,1608.93,1575.56,47.01,19.18
cairo_2068,cairo,37,0.1305,2257.95,3148.24,70.07,40.21
cairo_1519,cairo,0,0.0,,,,
cairo_1979,cairo,38,0.2012,3388.74,4368.14,83.88,44.63
cairo_0877,cairo,0,0.0,,,,
cairo_1342,cairo,142,0.0504,227.08,243.41,19.5,8.02
cairo_0196,cairo,2,0.0005,155.18,39.52,400.03,0.0
cairo_0404,cairo,2,0.042,13440.03,13025.61,119.09,0.0
cairo_0823,cairo,0,0.0,,,,
cairo_1341,cairo,0,0.0,,,,
cairo_2032,cairo,0,0.0,,,,
cairo_1950,cairo,17,0.0875,3293.25,4360.98,87.86,40.61
cairo_0227,cairo,0,0.0,,,,
cairo_1404,cairo,0,0.0,,,,
cairo_0440,cairo,3,0.0025,540.21,319.19,373.01,63.21
cairo_1290,cairo,0,0.0,,,,
cairo_1834,cairo,3,0.023,4912.68,5605.77,213.31,215.54
cairo_1703,cairo,0,0.0,,,,
cairo_0748,cairo,74,0.0242,209.44,310.68,12.11,15.49
cairo_0978,cairo,0,0.0,,,,
cairo_2082,cairo,35,0.1052,1923.99,1622.04,62.7,54.37
cairo_1760,cairo,1,0.0006,400.09,0.0,,
cairo_0502,cairo,0,0.0,,,,
cairo_1243,cairo,8,0.0958,7665.67,1870.79,129.72,1.32
cairo_2091,cairo,0,0.0,,,,
cairo_1582,cairo,0,0.0,,,,
cairo_0439,cairo,0,0.0,,,,
cairo_0602,cairo,21,0.0177,540.03,379.36,46.05,57.57
cairo_1242,cairo,3,0.0576,12288.76,120.9,109.3,0.46
cairo_0596,cairo,0,0.0,,,,
cairo_1198,cairo,0,0.0,,,,
cairo_0493,cairo,198,0.1585,512.19,602.87,27.06,15.82
cairo_1969,cairo,3,0.0046,990.26,322.09,67.37,5.91
cairo_0910,cairo,245,0.1401,365.95,57.75,20.84,3.36
cairo_0457,cairo,60,0.0482,513.73,1065.81,37.9,48.22
cairo_1989,cairo,33,0.1383,2681.42,4906.34,63.42,28.38
cairo_0775,cairo,9,0.0056,398.54,190.82,31.71,7.28
cairo_0028,cairo,8,0.016,1276.06,1876.95,98.12,90.46
cairo_1474,cairo,0,0.0,,,,
cairo_0726,cairo,0,0.0,,,,
cairo_1621,cairo,0,0.0,,,,
cairo_0489,cairo,2,0.003,970.99,139.54,44.75,0.0
cairo_1170,cairo,1,0.0008,481.29,0.0,,
cairo_0145,cairo,0,0.0,,,,
cairo_0765,cairo,43,0.0208,310.07,291.42,25.75,23.55
cairo_1809,cairo,1,0.0058,3681.15,0.0,,
cairo_0477,cairo,2,0.0036,1154.99,261.7,341.97,0.0
cairo_0855,cairo,19,0.0115,386.23,614.83,41.67,32.01
cairo_0281,cairo,0,0.0,,,,
cairo_1602,cairo,53,0.1249,1508.28,4276.44,54.26,36.36
cairo_1333,cairo,5,0.0052,661.79,1058.66,27.22,16.09
cairo_0004,cairo,119,0.0768,413.29,556.0,28.42,32.35
cairo_0914,cairo,163,0.0888,348.7,658.84,25.91,14.03
cairo_0791,cairo,53,0.0785,947.51,2834.63,31.81,32.59
cairo_0153,cairo,1,0.0068,4370.23,0.0,,
