patch_id,city_code,circuity,total_network_length,total_straight_length,n_edges_in_circuity
cologne_0364,cologne,1.084398,18055.81,16650.54,475
cologne_0581,cologne,1.035215,12666.43,12235.56,306
cologne_0455,cologne,1.040417,17991.68,17292.75,554
denver_0259,denver,1.006038,23392.76,23252.37,712
denver_0069,denver,1.004153,27994.82,27879.03,674
denver_0242,denver,1.004328,22458.62,22361.84,455
denver_0129,denver,1.010231,35603.46,35242.89,1159
denver_0262,denver,1.010616,15865.61,15698.95,239
denver_0349,denver,1.005942,16178.32,16082.77,291
denver_0258,denver,1.002599,21665.07,21608.9,504
denver_0324,denver,1.005963,18442.13,18332.82,383
denver_0220,denver,1.005759,31560.49,31379.77,917
denver_0222,denver,1.004178,23874.06,23774.73,534
denver_0303,denver,1.001719,14821.08,14795.65,250
denver_0172,denver,1.007752,31636.44,31393.08,888
denver_0239,denver,1.003384,26170.0,26081.74,761
denver_0368,denver,1.014766,12007.75,11833.02,199
denver_0171,denver,1.016055,27512.3,27077.56,759
denver_0064,denver,1.010614,25469.07,25201.58,709
denver_0112,denver,1.007872,31649.4,31402.19,1003
denver_0302,denver,1.019848,17019.95,16688.72,342
denver_0243,denver,1.018828,19373.55,19015.53,358
denver_0191,denver,1.001378,28243.2,28204.34,661
denver_0042,denver,1.013701,25619.07,25272.82,756
denver_0120,denver,1.025632,15258.62,14877.29,216
denver_0105,denver,1.062613,20538.64,19328.43,589
denver_0033,denver,1.028148,13979.09,13596.38,230
denver_0217,denver,1.00956,22534.93,22321.54,577
denver_0304,denver,1.013657,18371.53,18124.01,425
denver_0063,denver,1.024656,24103.65,23523.66,831
denver_0084,denver,1.011769,22208.34,21950.01,587
denver_0128,denver,1.011173,34913.61,34527.84,1139
denver_0257,denver,1.015394,20509.82,20198.89,503
denver_0195,denver,1.013207,23810.94,23500.58,767
denver_0263,denver,1.015963,22093.17,21746.03,489
denver_0177,denver,1.033012,29222.88,28289.0,833
denver_0273,denver,1.067183,21894.39,20516.06,671
denver_0150,denver,1.067312,16422.17,15386.48,414
denver_0143,denver,1.047124,26923.66,25712.01,1072
denver_0278,denver,1.032116,22005.26,21320.54,548
denver_0185,denver,1.026557,25788.42,25121.28,779
denver_0289,denver,1.008905,14198.95,14073.62,254
