patch_id,city_code,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex
kyiv_0617,kyiv,0,,,,,,,
kyiv_1034,kyiv,1,938.69,0.0,0.0,0.7409,0.1584,0.2811,0.9053
kyiv_0582,kyiv,0,,,,,,,
kyiv_0678,kyiv,1,12762.05,0.0,0.0,0.7808,0.0779,0.1212,0.8866
kyiv_0474,kyiv,0,,,,,,,
kyiv_0090,kyiv,0,,,,,,,
kyiv_0576,kyiv,1,2326.67,0.0,0.0,0.9852,0.1968,0.1869,0.9577
kyiv_0157,kyiv,0,,,,,,,
kyiv_0498,kyiv,0,,,,,,,
kyiv_0402,kyiv,3,41959.59,55489.72,1.3225,0.9393,0.2192,0.2321,0.9359
kyiv_0534,kyiv,4,16522.77,8631.98,0.5224,0.9207,0.3119,0.3712,0.9743
kyoto_0354,kyoto,34,13017.23,5230.49,0.4018,0.999,0.5805,0.7389,0.9992
kyoto_0303,kyoto,62,8013.84,6327.0,0.7895,0.9766,0.469,0.5889,0.9762
kyoto_0386,kyoto,59,8347.48,3344.27,0.4006,0.994,0.4181,0.4088,0.9917
kyoto_0306,kyoto,72,6072.17,8899.93,1.4657,0.9768,0.48,0.6034,0.9782
kyoto_0307,kyoto,65,6442.07,8691.55,1.3492,0.9932,0.5132,0.6036,0.9916
kyoto_0454,kyoto,6,41781.87,43075.72,1.031,0.9777,0.3991,0.5279,0.9844
kyoto_0242,kyoto,37,8672.6,6482.1,0.7474,0.9633,0.5023,0.6443,0.9585
kyoto_0364,kyoto,47,5868.26,3713.89,0.6329,0.9887,0.4687,0.5493,0.9861
kyoto_0484,kyoto,16,22908.89,27726.48,1.2103,0.9575,0.4927,0.6616,0.9624
kyoto_0107,kyoto,15,13045.92,4104.95,0.3147,0.9879,0.555,0.7675,0.9793
kyoto_0351,kyoto,44,10786.22,9891.03,0.917,0.9859,0.4379,0.4972,0.9861
kyoto_0487,kyoto,92,4656.4,2983.03,0.6406,0.9784,0.4666,0.5935,0.9762
kyoto_0183,kyoto,38,6913.06,8443.38,1.2214,0.9417,0.4267,0.5313,0.9343
kyoto_0294,kyoto,26,8256.38,15127.45,1.8322,0.9475,0.4062,0.5383,0.9444
kyoto_0310,kyoto,24,4975.48,2227.32,0.4477,0.9818,0.5211,0.6718,0.9752
kyoto_0324,kyoto,32,7906.88,7575.47,0.9581,0.9639,0.4275,0.522,0.9587
kyoto_0311,kyoto,6,7328.26,4923.31,0.6718,0.8619,0.4131,0.6438,0.8608
kyoto_0580,kyoto,3,12367.17,11859.71,0.959,0.9069,0.4206,0.7058,0.8855
kyoto_0087,kyoto,10,16206.29,13743.94,0.8481,0.9679,0.4236,0.5661,0.9414
kyoto_0205,kyoto,1,29638.52,0.0,0.0,0.8902,0.3575,0.5348,0.8855
kyoto_0647,kyoto,28,7386.14,13165.3,1.7824,0.9598,0.4623,0.6365,0.9595
kyoto_0614,kyoto,0,,,,,,,
kyoto_0505,kyoto,34,5735.92,9324.46,1.6256,0.958,0.4788,0.6251,0.9488
kyoto_0429,kyoto,8,3216.85,1906.67,0.5927,0.9626,0.4002,0.4677,0.9677
laplata_0035,laplata,19,17149.86,4868.75,0.2839,1.0,0.5889,0.8881,0.9997
laplata_0013,laplata,23,14959.66,7467.4,0.4992,0.998,0.5091,0.767,0.9995
laplata_0012,laplata,28,13353.07,7669.16,0.5743,0.9932,0.4903,0.7228,0.9996
laplata_0020,laplata,34,11399.93,7698.36,0.6753,0.9704,0.4401,0.7216,0.9958
laplata_0005,laplata,25,15230.17,15899.98,1.044,0.9844,0.4422,0.6812,0.9995
lasvegas_0105,lasvegas,12,29169.49,31157.81,1.0682,0.9698,0.3425,0.4257,0.9855
lasvegas_0379,lasvegas,4,23776.29,31168.23,1.3109,0.9995,0.515,0.5967,0.9968
lasvegas_0560,lasvegas,8,35372.75,18940.99,0.5355,0.8693,0.4335,0.6,0.8698
lasvegas_0416,lasvegas,9,19130.15,13321.76,0.6964,0.9613,0.5357,0.7512,0.9531
lasvegas_0201,lasvegas,8,16291.24,17457.12,1.0716,0.9896,0.324,0.4359,0.9977
lasvegas_1147,lasvegas,13,11501.06,11679.33,1.0155,0.9402,0.3538,0.4271,0.9293
lasvegas_0661,lasvegas,16,15447.68,7924.19,0.513,0.9989,0.5718,0.736,0.9981
lasvegas_1156,lasvegas,5,34801.04,26225.25,0.7536,0.8288,0.4052,0.6203,0.7997
