patch_id,city_code,n_nodes_used,n_edges_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density
bengaluru_0077,bengaluru,120,155,10,74,24,0.083333,0.616667,0.2,2.5833,62.15,9633.36,0.153191,187.5,15.0521
bengaluru_0236,bengaluru,336,456,44,208,56,0.130952,0.619048,0.166667,2.7143,46.41,21161.15,0.181409,525.0,33.0643
bengaluru_0043,bengaluru,192,218,10,94,62,0.052083,0.489583,0.322917,2.2708,57.23,12475.71,0.07124,300.0,19.4933
bengaluru_0674,bengaluru,84,107,7,48,16,0.083333,0.571429,0.190476,2.5476,81.1,8677.62,0.147239,131.25,13.5588
bengaluru_0330,bengaluru,153,197,16,83,30,0.104575,0.542484,0.196078,2.5752,66.61,13122.49,0.149502,239.06,20.5039
bengaluru_0743,bengaluru,163,212,14,95,25,0.08589,0.582822,0.153374,2.6012,49.85,10568.23,0.155763,254.69,16.5129
bengaluru_0051,bengaluru,149,213,18,101,9,0.120805,0.677852,0.060403,2.8591,65.04,13852.47,0.221843,232.81,21.6445
bengaluru_0695,bengaluru,367,508,60,227,68,0.163488,0.618529,0.185286,2.7684,34.9,17728.95,0.194787,573.44,27.7015
bengaluru_0652,bengaluru,305,385,39,155,73,0.127869,0.508197,0.239344,2.5246,47.14,18147.84,0.133884,476.56,28.356
bengaluru_0389,bengaluru,202,237,14,103,61,0.069307,0.509901,0.30198,2.3465,56.67,13430.4,0.090226,315.62,20.985
bengaluru_0271,bengaluru,237,332,33,144,20,0.139241,0.607595,0.084388,2.8017,56.9,18892.1,0.204691,370.31,29.5189
bengaluru_0028,bengaluru,104,134,11,54,19,0.105769,0.519231,0.182692,2.5769,87.42,11714.09,0.152709,162.5,18.3033
bengaluru_0172,bengaluru,298,397,44,167,57,0.147651,0.560403,0.191275,2.6644,50.35,19989.69,0.169205,465.62,31.2339
bengaluru_0380,bengaluru,288,425,75,155,31,0.260417,0.538194,0.107639,2.9514,49.61,21082.97,0.241681,450.0,32.9421
bengaluru_0823,bengaluru,135,156,10,64,45,0.074074,0.474074,0.333333,2.3111,62.58,9763.07,0.083019,210.94,15.2548
bengaluru_0671,bengaluru,224,267,14,130,72,0.0625,0.580357,0.321429,2.3839,46.67,12460.71,0.099323,350.0,19.4699
bengaluru_1053,bengaluru,212,252,53,58,87,0.25,0.273585,0.410377,2.3774,48.43,12205.36,0.097852,331.25,19.0709
bengaluru_0177,bengaluru,269,367,36,164,40,0.133829,0.609665,0.148699,2.7286,54.8,20113.31,0.185741,420.31,31.427
bengaluru_1043,bengaluru,222,246,17,100,86,0.076577,0.45045,0.387387,2.2162,55.83,13734.04,0.056948,346.87,21.4594
bengaluru_0872,bengaluru,139,158,9,64,47,0.064748,0.460432,0.338129,2.2734,64.95,10262.61,0.07326,217.19,16.0353
bengaluru_0467,bengaluru,140,169,13,72,40,0.092857,0.514286,0.285714,2.4143,66.2,11186.97,0.109091,218.75,17.4796
bengaluru_0728,bengaluru,231,262,5,125,79,0.021645,0.541126,0.341991,2.2684,56.01,14674.98,0.070022,360.94,22.9297
bengaluru_0376,bengaluru,235,308,24,146,48,0.102128,0.621277,0.204255,2.6213,48.35,14892.27,0.15914,367.19,23.2692
bengaluru_0276,bengaluru,208,284,25,134,35,0.120192,0.644231,0.168269,2.7308,45.79,13003.64,0.187348,325.0,20.3182
bengaluru_0744,bengaluru,221,294,26,132,38,0.117647,0.597285,0.171946,2.6606,61.73,18149.35,0.169336,345.31,28.3584
bengaluru_0481,bengaluru,250,297,18,133,75,0.072,0.532,0.3,2.376,51.57,15316.71,0.09697,390.62,23.9324
bengaluru_0540,bengaluru,228,292,50,91,66,0.219298,0.399123,0.289474,2.5614,41.37,12079.89,0.144124,356.25,18.8748
bengaluru_0701,bengaluru,135,165,24,53,44,0.177778,0.392593,0.325926,2.4444,54.29,8958.08,0.116981,210.94,13.997
bengaluru_0579,bengaluru,237,318,52,108,59,0.219409,0.455696,0.248945,2.6835,46.94,14925.99,0.17484,370.31,23.3219
bengaluru_0732,bengaluru,262,313,33,120,84,0.125954,0.458015,0.320611,2.3893,52.11,16310.96,0.100193,409.37,25.4859
bergen_0556,bergen,51,67,2,34,6,0.039216,0.666667,0.117647,2.6275,81.67,5472.11,0.175258,79.69,8.5502
bergen_0516,bergen,60,66,6,25,25,0.1,0.416667,0.416667,2.2,61.78,4077.19,0.06087,93.75,6.3706
